Date,Temperature,Humidity,Wind Speed,Weather Condition
2024-12-08 18:00:00,-0.3258194347321604,28,1.3762381583916912,clear sky
2024-12-08 21:00:00,-0.4395791299385506,25,0.6718642977975183,clear sky
2024-12-09 00:00:00,-0.8100273681747684,22,0.5634990884753378,clear sky
2024-12-09 03:00:00,-0.7546059782024066,19,-0.791066028051917,clear sky
2024-12-09 06:00:00,0.9284541277998809,16,0.2203425922884333,clear sky
2024-12-09 09:00:00,1.3630745017935433,14,1.5387859723749615,clear sky
2024-12-09 12:00:00,0.027127311933825705,21,0.5634990884753378,clear sky
2024-12-09 15:00:00,-0.7283537408470927,26,0.9066555846622432,clear sky
2024-12-09 18:00:00,-0.9296208939045582,25,-0.03250956279665375,clear sky
2024-12-09 21:00:00,-1.1396387927471399,24,-0.050570431017017574,clear sky
2024-12-10 00:00:00,-1.2971522168790597,25,-0.4840312683057392,scattered clouds
2024-12-10 03:00:00,-0.9967099449237189,26,-0.3576051907631953,few clouds
2024-12-10 06:00:00,1.1063859587637317,17,-0.7007616869500998,few clouds
2024-12-10 09:00:00,1.546840163280794,15,0.6899251660178821,scattered clouds
2024-12-10 12:00:00,0.1642223292338471,23,-0.9536138420351876,broken clouds
2024-12-10 15:00:00,-0.5679234014534561,27,-0.12281390389847124,few clouds
2024-12-10 18:00:00,-0.7633567239875225,27,-0.42984866364464897,clear sky
2024-12-10 21:00:00,-0.938371639689674,26,-0.881370369153734,broken clouds
2024-12-11 00:00:00,-1.1046358096067095,27,-0.5562747411871929,scattered clouds
2024-12-11 03:00:00,-0.7371044866322081,25,-1.2064659971202751,few clouds
2024-12-11 06:00:00,1.083050636670101,16,-0.791066028051917,few clouds
2024-12-11 09:00:00,1.6401814516552693,14,-0.014448694576290734,clear sky
2024-12-11 12:00:00,0.21089297342107646,21,-0.9355529738148243,clear sky
2024-12-11 15:00:00,-0.41916072310663566,24,0.021673041864436103,clear sky
2024-12-11 18:00:00,-0.6204278761641016,24,-0.42984866364464897,clear sky
2024-12-11 21:00:00,-0.7633567239875225,23,-0.5382138729668294,clear sky
2024-12-12 00:00:00,-0.9471223854747732,24,-0.64657908228901,clear sky
2024-12-12 03:00:00,-0.6466801135194326,23,-0.5201530047464661,clear sky
2024-12-12 06:00:00,1.441831213859503,15,-0.8452486327130072,clear sky
2024-12-12 09:00:00,1.946457554134026,14,0.27452519694952393,clear sky
2024-12-12 12:00:00,0.3392372449359986,24,-0.4840312683057392,clear sky
2024-12-12 15:00:00,0.10880093926150192,28,-0.6285182140686465,overcast clouds
2024-12-12 18:00:00,-0.1858075021704387,31,-1.369013811103546,overcast clouds
2024-12-12 21:00:00,-0.530003503051326,32,-0.7368834233908267,broken clouds
2024-12-13 00:00:00,-0.7166860798002771,33,-0.12281390389847124,scattered clouds
2024-12-13 03:00:00,-0.42207763836833545,31,-0.26730084966137857,clear sky
2024-12-13 06:00:00,1.701436672151014,19,0.23840346050879713,clear sky
2024-12-13 09:00:00,2.2964873855383123,15,2.4418293833931317,clear sky
2024-12-13 12:00:00,0.8059436868083749,25,2.5501945927153122,clear sky
2024-12-13 15:00:00,0.07379795612107111,29,2.839168484241127,clear sky
